"Yearly Results of Harrisons Malyalam (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Consumption of Raw Materials","117.44","104.92","82.88","93.34","107.68"," ",
"Purchase of Traded Goods","38.66","22.77","24.34","21.44","7.33"," ",
"Employees Cost","165.68","161.12","164.81","152.27","152.40"," ",
"Other Expenses","115.25","99.14","104.68","98.67","103.52"," ",
"Net Profit/(Loss) For the Period","22.95","40.45","9.29","-24.09","4.45"," ",
"Basic EPS (Rs.)","12.44","21.92","5.03","-13.05","2.41"," ",
"Diluted EPS (Rs.)","12.44","21.92","5.03","-13.05","2.41"," ",
"Cash EPS (Rs.)","14.73","24.14","7.36","-10.80","4.67"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","74.78","62.40","42.82","42.62","56.24"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","74.78","62.40","42.82","42.62","56.24"," ",
"Dividend / Share(Rs.)","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue from Operations/Share (Rs.)","255.51","244.45","209.87","191.69","207.71"," ",
"PBDIT/Share (Rs.)","20.79","31.51","15.98","-3.22","11.54"," ",
"PBIT/Share (Rs.)","18.50","29.28","13.65","-5.47","9.28"," ",
"PBT/Share (Rs.)","12.44","21.92","5.03","-13.05","2.41"," ",
"Net Profit/Share (Rs.)","12.44","21.92","5.03","-13.05","2.41"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","8.13","12.88","7.61","-1.67","5.55"," ",
"PBIT Margin (%)","7.23","11.97","6.50","-2.85","4.46"," ",
"PBT Margin (%)","4.86","8.96","2.39","-6.80","1.16"," ",
"Net Profit Margin (%)","4.86","8.96","2.39","-6.80","1.16"," ",
"Return on Networth / Equity (%)","16.63","35.12","11.75","-30.62","4.28"," ",
"Return on Capital Employed (%)","14.74","25.47","13.41","-5.40","8.94"," ",
"Return on Assets (%)","5.46","9.94","2.30","-6.46","1.16"," ",
"Total Debt/Equity (X)","0.62","0.69","1.33","1.34","0.83"," ",
"Asset Turnover Ratio (%)","1.14","110.87","96.03","94.86","100.70"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","0.49","0.47","0.45","0.42","0.45"," ",
"Quick Ratio (X)","0.31","0.29","0.26","0.27","0.30"," ",
"Inventory Turnover Ratio (X)","3.37","12.93","9.55","12.00","13.66"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","325.51","334.29","199.33","233.08","217.73"," ",
"EV/Net Operating Revenue (X)","0.69","0.74","0.51","0.66","0.57"," ",
"EV/EBITDA (X)","8.49","5.75","6.76","-39.23","10.23"," ",
"MarketCap/Net Operating Revenue (X)","0.52","0.57","0.25","0.37","0.35"," ",
"Retention Ratios (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Price/BV (X)","1.77","2.23","1.24","1.66","1.31"," ",
"Price/Net Operating Revenue","0.52","0.57","0.25","0.37","0.35"," ",
"Earnings Yield","0.09","0.16","0.09","-0.18","0.03"," ",

