"Yearly Results of Impex Ferro Tech (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18",
"Consumption of Raw Materials","173.79","82.41","47.5","73.61","100.03",
"Purchase of Traded Goods","11.77","26.88","3.23","0","0",
"Employees Cost","0.32","0.5","1.17","6.86","6.03",
"Other Expenses","102.13","25.24","25.54","10.74","11.44",
"Net Profit/(Loss) For the Period","-16.76","-8.74","-25.05","-16.75","-68.35",
"Basic EPS (Rs.)","-1.91","-0.99","-2.85","-1.90","-7.77"," ",
"Diluted EPS (Rs.)","-1.91","-0.99","-2.85","-1.90","-7.77"," ",
"Cash EPS (Rs.)","-1.16","-0.25","-2.07","-1.10","-6.96"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","-27.82","-25.95","-24.90","-22.04","-20.19"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","-27.82","-25.95","-24.90","-22.04","-20.19"," ",
"Dividend / Share(Rs.)","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue from Operations/Share (Rs.)","33.94","11.38","6.02","11.35","14.70"," ",
"PBDIT/Share (Rs.)","1.43","-0.25","-2.07","-0.96","-6.28"," ",
"PBIT/Share (Rs.)","0.68","-0.99","-2.85","-1.77","-7.09"," ",
"PBT/Share (Rs.)","-1.91","-0.99","-2.85","-1.90","-7.77"," ",
"Net Profit/Share (Rs.)","-1.91","-0.99","-2.85","-1.90","-7.77"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","4.21","-2.22","-34.36","-8.49","-42.73"," ",
"PBIT Margin (%)","2.01","-8.73","-47.29","-15.58","-48.23"," ",
"PBT Margin (%)","-5.61","-8.73","-47.33","-16.77","-52.88"," ",
"Net Profit Margin (%)","-5.61","-8.73","-47.33","-16.77","-52.88"," ",
"Return on Networth / Equity (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Return on Capital Employed (%)","20.15","6.07","14.57","16.41","123.59"," ",
"Return on Assets (%)","-6.66","-3.33","-10.17","-7.65","-30.33"," ",
"Total Debt/Equity (X)","-1.19","-0.82","-0.77","-1.19","-1.47"," ",
"Asset Turnover Ratio (%)","1.16","38.16","21.48","45.61","57.36"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","0.37","0.26","0.20","0.16","0.20"," ",
"Quick Ratio (X)","0.12","0.05","0.05","0.06","0.06"," ",
"Inventory Turnover Ratio (X)","2.50","1.16","0.85","3.06","3.35"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","308.94","194.52","170.78","235.11","270.76"," ",
"EV/Net Operating Revenue (X)","1.04","1.94","3.23","2.36","2.10"," ",
"EV/EBITDA (X)","24.54","-87.34","-9.39","-27.72","-4.90"," ",
"MarketCap/Net Operating Revenue (X)","0.08","0.08","0.06","0.04","0.08"," ",
"Retention Ratios (%)","0.00","0.00","0.00","0.00","0.00"," ",
"Price/BV (X)","-0.09","-0.04","-0.01","-0.02","-0.06"," ",
"Price/Net Operating Revenue","0.08","0.08","0.06","0.04","0.08"," ",
"Earnings Yield","-0.74","-1.05","-7.91","-4.53","-6.82"," ",
